Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Kishu Jain,retardchick,7.28,20000,785.0,22427.45,4.0,Rajasthan,Technology,Celebrity
Tia Bajpai,tiabajpai,9.03,4700000,41800.0,439736.0,0.89,India,Arts and Entertainment,Mega
Aamir Khan,_aamirkhan,9.25,3600000,267300.0,2811996.0,7.5,Mumbai,Arts and Entertainment,Mega
Funcho,funcho,9.24,2300000,223300.0,2349116.0,9.63,India,Arts and Entertainment,Mega
Upen Patel,upenpatelworld,8.83,2100000,31400.0,330328.0,1.49,India,Arts and Entertainment,Mega
Atharvaa,atharvaamurali,9.25,1900000,257100.0,2704692.0,13.3,Chennai,Arts and Entertainment,Mega
Anu Emmanuel,anuemmanuel,9.22,1800000,152500.0,1604300.0,8.55,India,Arts and Entertainment,Mega
Naveen Singh,bihariladka,9.21,1600000,119800.0,1260296.0,7.53,Bihar,Arts and Entertainment,Mega
Vaishnavi Chaitanya,vaishnavi_chaitanya_,9.23,1000000,184300.0,1938836.0,18.04,India,Arts and Entertainment,Mega
Komal Kharat,_komal_kharat_,9.2,1000000,72600.0,763752.0,7.17,Mumbai,Arts and Entertainment,Mega
Charansh,theindianidiot,8.87,900000,33400.0,351368.0,3.69,Delhi,Arts and Entertainment,Mega
??Jiya Khan??,jiyakhan2230,9.18,887600,48700.0,512324.0,5.56,Kolkata,Arts and Entertainment,Mega
PURI JAGAN,purijagannadh,9.01,656200,40400.0,425008.0,6.19,Hyderabad,Arts and Entertainment,Mega
Sumein Bhat,sumeinbhat,9.2,534500,54300.0,571236.0,10.21,Mumbai,Arts and Entertainment,Mega
DIIPA KHOSLA,diipakhosla,9.0,1800000,39900.0,419748.0,2.27,India,Lifestyle and Fashion,Mega
#meghana,rowdy__megha,8.83,574600,31500.0,331380.0,5.51,Chennai,Lifestyle and Fashion,Mega
Hebbar's Kitchen,hebbars.kitchen,7.68,3300000,1900.0,19988.0,0.06,India,Food and Drink,Mega
Technical Guruji,technicalguruji,9.21,2300000,90700.0,954164.0,3.92,India,Technology,Mega
Siddiqui Subhani,siddiquisubhani,8.36,1000000,9500.0,99940.0,0.95,India,Sports,Mega
TechToll,ravivora,7.75,766600,2700.0,28404.0,0.36,Bhopal,Technology,Mega
Aarti Madan,aartimadan,7.86,669700,3900.0,41028.0,0.59,Mumbai,Food and Drink,Mega
Spoons Of Dilli,spoonsofdilli,8.31,565600,9000.0,94680.0,1.59,Delhi,Food and Drink,Mega
VISHAL OBEROI,thevishaloberoi,8.5,531600,14900.0,156748.0,2.86,Mumbai,Business,Mega
Akshar,aksharpathak,9.07,493000,43800.0,312732.0,8.92,New Delhi,Arts and Entertainment,Mid Tier
Naveen Sharma,naveenn25,8.51,403300,15500.0,110670.0,3.88,India,Arts and Entertainment,Mid Tier
Kanan Gill,kanangill,8.72,355000,26100.0,186354.0,7.37,Bengaluru,Arts and Entertainment,Mid Tier
I.am.priceless,anmol_rodriguez_official,8.18,346500,7400.0,52836.0,2.17,Mumbai,Lifestyle and Fashion,Mid Tier
Gurpreet Kaur Chadha,gurpreetkchadha,7.67,323000,1800.0,12852.0,0.57,Mumbai,Arts and Entertainment,Mid Tier
Shailesh Lodha,lodha_shailesh,8.46,303700,13100.0,93534.0,4.32,Mumbai,Arts and Entertainment,Mid Tier
Uday Chopra,udayc,7.67,257200,1800.0,12852.0,0.72,Mumbai,Arts and Entertainment,Mid Tier
Inayat Sharma,inayatsharmaofficial,7.66,250800,1700.0,12138.0,0.7,Mumbai,Arts and Entertainment,Mid Tier
Aayush Shah,aayushshah3100,7.8,244000,3200.0,22848.0,1.36,Mumbai,Arts and Entertainment,Mid Tier
The_Men_Diaries,the_men_diaries,7.62,204000,1300.0,9282.0,0.65,Pune,Arts and Entertainment,Mid Tier
Ahaan Panday,ahaanpandayy,8.65,202600,22200.0,158508.0,11.16,Mumbai,Arts and Entertainment,Mid Tier
Ethos Watch Boutiques,ethoswatches,6.26,171000,297.0,2120.58,0.18,India,Arts and Entertainment,Mid Tier
Varun Toorkey,varuntoorkey,7.89,160300,4300.0,30702.0,2.7,Mumbai,Arts and Entertainment,Mid Tier
Seb Mellia,sebmellia,7.74,149500,2600.0,18564.0,1.79,Surat,Arts and Entertainment,Mid Tier
VaibhaviMerchant,vaibhavi.merchant,7.6,138000,1000.0,7140.0,0.76,Mumbai,Arts and Entertainment,Mid Tier
S A N � A,sanaakblog,8.45,127900,12500.0,89250.0,9.88,Surat,Arts and Entertainment,Mid Tier
Tanya Singh,the.tanyasingh,4.51,122200,50.0,357.0,0.05,Delhi,Arts and Entertainment,Mid Tier
Sonalika Joshi,sonalikajoshi,5.79,121100,174.0,1242.36,0.14,Maharashtra,Arts and Entertainment,Mid Tier
Nupur Parulekar,nupurparulekar,7.71,116900,2200.0,15708.0,1.98,Mumbai,Arts and Entertainment,Mid Tier
Bindass,bindasstv,6.16,115900,252.0,1799.28,0.22,India,Arts and Entertainment,Mid Tier
Box Office India,boxofficeindiamag,4.32,111700,47.0,335.58,0.04,Mumbai,Arts and Entertainment,Mid Tier
Deepali Pansare,deepalipansare,7.62,105900,1300.0,9282.0,1.19,Mumbai,Arts and Entertainment,Mid Tier
Happy Sharing By Dks,happysharingbydks,7.0,104000,630.0,4498.2,0.61,Chennai,Arts and Entertainment,Mid Tier
Palak Jain,palakjain786,7.68,103000,1900.0,13566.0,1.86,Mumbai,Arts and Entertainment,Mid Tier
Ashish Shakya,ashish_shakya,7.67,101300,1900.0,13566.0,1.85,Mumbai,Arts and Entertainment,Mid Tier
Kevin Almasifar,kevinalmasifar,9.06,422700,43000.0,307020.0,10.21,Mumbai,Lifestyle and Fashion,Mid Tier
I.am.priceless,anmol_rodriguez_official,8.18,346500,7400.0,52836.0,2.17,Mumbai,Lifestyle and Fashion,Mid Tier
Creative Fashion Indian Stuff�,creative_fashion_point,6.48,338800,378.0,2698.92,0.11,India,Lifestyle and Fashion,Mid Tier
MOHIT TOMAR,mohit_tomar89,7.87,289700,4000.0,28560.0,1.42,Moradabad,Lifestyle and Fashion,Mid Tier
KRINA GINDRA,krinagindra,8.4,259100,10100.0,72114.0,3.92,Mumbai,Lifestyle and Fashion,Mid Tier
Sumedha Fashion,sumedhafashion,6.46,258899,371.0,2648.94,0.15,India,Lifestyle and Fashion,Mid Tier
Avantika Sharma?,avantikaitis,8.56,244800,17900.0,127806.0,7.35,Kolkata,Lifestyle and Fashion,Mid Tier
Bhumika Sharma,bhumikasharmaofficial,5.28,236700,110.0,785.4,0.05,Chennai,Lifestyle and Fashion,Mid Tier
Aaliya Nurie,aaliyalala,7.81,232900,3400.0,24276.0,1.47,Mumbai,Lifestyle and Fashion,Mid Tier
Chanel Ayan,chanelayan,7.7,231300,2100.0,14994.0,0.94,India,Lifestyle and Fashion,Mid Tier
SPURTHI GOWDA| Content Creator,spurthi_gowda_official,7.52,229300,900.0,6426.0,0.42,Bengaluru,Lifestyle and Fashion,Mid Tier
Women Fashion Point ClothsCafe,women_fashion_point_,6.3,229100,313.0,2234.8199999999997,0.14,India,Lifestyle and Fashion,Mid Tier
Niharika Agarwal,theknclan,5.88,218600,173.0,1235.22,0.09,Delhi,Lifestyle and Fashion,Mid Tier
HighHeelConfidential,hhcguiltfree,5.36,213600,118.0,842.52,0.06,India,Lifestyle and Fashion,Mid Tier
Aishwarya Sharma,figuramoda,6.81,198400,432.0,3084.48,0.26,Delhi,Lifestyle and Fashion,Mid Tier
Sayanti Mahapatra,sayanti_mahapatra,8.22,181800,8000.0,57120.0,4.44,New Delhi,Lifestyle and Fashion,Mid Tier
Sonam Babani,fashioneiress,7.84,163600,3700.0,26418.0,2.26,Mumbai,Lifestyle and Fashion,Mid Tier
Yashswini Mishra,fashion_is_my_hue,7.65,162400,1600.0,11424.0,0.97,India,Lifestyle and Fashion,Mid Tier
SWAPNALI BHOSALE,1swapnalibhosale1,7.61,147900,1000.0,7140.0,0.82,Kalyan,Lifestyle and Fashion,Mid Tier
Mamta Sharma Das,thebohobaalika,6.65,143000,426.0,3041.64,0.31,Kolkata,Lifestyle and Fashion,Mid Tier
Rashika Dobriyal,rashu_dobriyal,8.26,127900,8400.0,59976.0,6.63,Delhi,Lifestyle and Fashion,Mid Tier
DIVYANSHI BATRA,divyanshibatraa_05,8.53,126100,16400.0,117096.0,13.14,Delhi,Lifestyle and Fashion,Mid Tier
Unforgettable Girl??!,call_me_bbes_20,7.88,124500,4100.0,29274.0,3.39,Chennai,Travel,Mid Tier
Shrizan,shrizans,7.76,119400,2900.0,20706.0,2.41,Lucknow,Lifestyle and Fashion,Mid Tier
FRENESI - Fashion Big Store,frenesifashion,6.37,116600,329.0,2349.06,0.29,India,Lifestyle and Fashion,Mid Tier
Yashita Chandrashekhar,yashitac,8.12,113800,6800.0,48552.0,6.03,Mumbai,Lifestyle and Fashion,Mid Tier
Isha Khanna - Makeup Artist,ishakhannamakeup,6.8,110500,498.0,3555.72,0.46,Khanna,Lifestyle and Fashion,Mid Tier
Bunaai,parichoudhary06,7.42,106500,878.0,6268.92,0.83,Mumbai,Lifestyle and Fashion,Mid Tier
Niki Mahajan,nikimahajan,2.4,102800,5.0,35.699999999999996,0.0,New Delhi,Lifestyle and Fashion,Mid Tier
Faiz Abdul Kareem,faizeey,6.88,102700,547.0,3905.58,0.54,Bengaluru,Lifestyle and Fashion,Mid Tier
Kevin Almasifar,kevinalmasifar,9.06,422700,43000.0,307020.0,10.21,Mumbai,Lifestyle and Fashion,Mid Tier
Indian Cricket Team ??,indianteam.cricket,8.0,388900,5500.0,39270.0,1.42,India,Sports,Mid Tier
MkrGreenBoard,studyquill,8.44,319800,12300.0,87822.0,3.86,New Delhi,Education,Mid Tier
MAHAK KAPOOR,her_garage_yt,7.99,264800,5400.0,38556.0,2.06,India,Automotive,Mid Tier
CA Twinkle Jain,ca.twinklejain,7.97,251500,5200.0,37128.0,2.08,Mumbai,Investment and Finance,Mid Tier
Deepika Mehta,deepikamehtayoga,7.69,246300,2000.0,14280.0,0.82,Mumbai,Health and Fitness,Mid Tier
FactTechz,facttechz,9.1,239500,44500.0,317730.0,18.8,India,Technology,Mid Tier
THE ULTIMATE QUOTES,theultimatequotes,7.68,236500,1900.0,13566.0,0.81,Mumbai,Technology,Mid Tier
Travel,Travel,8.05,214900,6000.0,42840.0,2.83,Mumbai,Travel,Mid Tier
Shaikh Sharaan,shaikhsharaan,7.97,209300,5100.0,36414.0,2.5,Varanasi,Business,Mid Tier
Isadorable,imzeferino,7.92,208700,4600.0,32844.0,2.24,Visakhapatnam,Business,Mid Tier
Sakshi Malik,sakshimalik_official,7.98,155400,5400.0,38556.0,3.47,Rohtak,Sports,Mid Tier
Shivangi Arora,twistie_bites,6.79,150200,489.0,3491.46,0.33,Gurgaon,Food and Drink,Mid Tier
Arun Prabhudesai,8ap,8.42,144200,11100.0,79254.0,7.83,Pune,Technology,Mid Tier
AJMIRA SHAIKH,Travel,7.64,142900,1500.0,10710.0,1.04,Delhi,Lifestyle and Fashion,Mid Tier
Workaway,workawayinfo,6.96,142900,597.0,4262.58,0.42,Assam,Travel,Mid Tier
Priya | Career Growth Tips,yourgrowthdiet,4.37,130500,40.0,285.59999999999997,0.04,Bengaluru,Education,Mid Tier
Manish Grover,food_gambler,6.65,127700,435.0,3105.8999999999996,0.35,Rampur,Food and Drink,Mid Tier
Deepanshu Sangwan,nomadic.indian,8.52,127200,16200.0,115668.0,12.9,India,Travel,Mid Tier
Fodrem.co,fodrem.co,7.02,126600,640.0,4569.599999999999,0.51,Mumbai,Education,Mid Tier
Unforgettable Girl??!,call_me_bbes_20,7.88,124500,4100.0,29274.0,3.39,Chennai,Travel,Mid Tier
Colored Ideas,coloredideas14,6.06,119700,222.0,1585.08,0.19,India,Travel,Mid Tier
? ???? ?? ???? ?? ???? ? ?? ??,sabruush,8.11,116600,6800.0,48552.0,5.84,Vadodara,Business,Mid Tier
Travel,themermaidwoman,7.17,114200,706.0,5040.84,0.64,India,Travel,Mid Tier
Prateek,sofaridabad,7.65,113500,1600.0,11424.0,1.43,Faridabad,Food and Drink,Mid Tier
Photography,flexcia_dsouza,7.67,113000,1900.0,13566.0,1.66,Ponda,Food and Drink,Mid Tier
Delhi Food Nerd,khaata_rahe_mera_dil,6.08,112700,226.0,1613.6399999999999,0.2,New Delhi,Food and Drink,Mid Tier
Koyal Rana,koyalrana,7.68,111700,2000.0,14280.0,1.78,India,Travel,Mid Tier
Himanshu Biswas,himanshu.instaworld,6.02,109800,210.0,1499.3999999999999,0.19,India,Investment and Finance,Mid Tier
Raj,lucky_amourer,8.51,103700,15800.0,112812.0,15.28,Delhi,Travel,Mid Tier
Sudeep Nagarkar,sudeepnagarkar,7.78,82500,3100.0,18228.0,3.76,Mumbai,Arts and Entertainment,Micro
PIXIPfoto Wedding Photographer,pixipfoto,3.36,77400,17.0,99.96,0.02,India,Arts and Entertainment,Micro
Deeksha Seth,deeksha721,8.17,76500,7300.0,42924.0,9.78,Mumbai,Arts and Entertainment,Micro
Dino Talks,dino_talks,8.42,76200,11300.0,66444.0,14.88,New Delhi,Arts and Entertainment,Micro
Yash Pardeshi,yash_pardeshi_,4.4,73900,48.0,282.24,0.07,Pune,Arts and Entertainment,Micro
Alok Shah,Photography,4.89,62800,79.0,464.52,0.13,Mumbai,Arts and Entertainment,Micro
Sakshi Gulati,sakshigulati10,5.8,62000,164.0,964.3199999999999,0.28,India,Arts and Entertainment,Micro
Malaika Arora KhanFC,mallaarorafc,7.34,58500,831.0,4886.28,1.43,India,Arts and Entertainment,Micro
Michael Calfan,michaelcalfan,7.65,55000,1600.0,9408.0,2.92,Assam,Arts and Entertainment,Micro
Chiyaan Vikram Fans,chiyaanvikramfans,7.65,54800,1600.0,9408.0,2.94,Chennai,Arts and Entertainment,Micro
Taran Sidhu,taran.sidhu,7.92,53400,4700.0,27636.0,8.71,New Delhi,Arts and Entertainment,Micro
Mahesh Chaudhary,maheshattri01,3.62,51100,21.0,123.48,0.04,Kota,Arts and Entertainment,Micro
Ganesh Raj,onewordepic,7.8,48700,3200.0,18816.0,6.83,Kochi,Arts and Entertainment,Micro
Samuel Dhinakaran,samueldhinakaranofficial,7.63,46200,1400.0,8232.0,2.96,Chennai,Arts and Entertainment,Micro
Creative IMAGE,creativeimagemagazine,6.75,45700,481.0,2828.2799999999997,1.06,New Delhi,Arts and Entertainment,Micro
Ravjeet Singh,ravjeetsingh7,7.65,41400,1600.0,9408.0,3.85,Mumbai,Arts and Entertainment,Micro
Carlos Cabezas,hibridoabraxas,6.81,39500,496.0,2916.48,1.29,Assam,Arts and Entertainment,Micro
GauravKrishnaGoswami,gauravkrishnag,7.95,38600,4700.0,27636.0,12.82,Vrindavan,Arts and Entertainment,Micro
Aadi,r4x4j,7.74,35500,2600.0,15288.0,7.55,Mumbai,Arts and Entertainment,Micro
Kalyan Varma,kalyanvarma,7.74,35300,2600.0,15288.0,7.47,Bengaluru,Arts and Entertainment,Micro
Mohammed Sajeer,mohammed.sajeer,6.25,34400,273.0,1605.24,0.86,Kerala,Arts and Entertainment,Micro
????? ?????|?????,lamyaq2,6.83,33000,368.0,2163.84,1.57,India,Arts and Entertainment,Micro
Andy Von Eich,andy_von_eich,5.7,32500,151.0,887.88,0.5,Mumbai,Arts and Entertainment,Micro
Sonali Gupta,sukiatte,7.03,31600,561.0,3298.68,2.04,Delhi,Arts and Entertainment,Micro
Jajeer Talkies,jajeertimes,7.35,31200,834.0,4903.92,2.72,Srinagar,Arts and Entertainment,Micro
JoPainter,po_jainter,7.89,30900,4300.0,25284.0,14.11,Assam,Arts and Entertainment,Micro
VIJAY - MAHESH FC,be_like_krithi,6.35,29400,331.0,1946.28,1.13,India,Arts and Entertainment,Micro
Raju Kunadharaju,rajukunadharaj,7.6,29200,1000.0,5880.0,3.46,India,Arts and Entertainment,Micro
Zain,Photography,5.24,29000,105.0,617.4,0.36,Mumbai,Arts and Entertainment,Micro
Mahendra Soni,iammony,6.74,27700,471.0,2769.48,1.73,Kolkata,Arts and Entertainment,Micro
PawanKalyan Devotee,pawankalyan_official,7.55,26900,1000.0,5880.0,3.62,Hyderabad,Arts and Entertainment,Micro
Aniruddha Sarkar,artistaniruddha,7.91,26800,4400.0,25872.0,16.73,Kolkata,Arts and Entertainment,Micro
Emily Burnett,emily_burnett_,7.38,25900,854.0,5021.5199999999995,3.34,Wardha,Arts and Entertainment,Micro
Parvaaz,Music,7.6,25600,1000.0,5880.0,3.98,Bengaluru,Arts and Entertainment,Micro
Skycinemas,skycinemas,4.81,25300,75.0,441.0,0.3,Chennai,Arts and Entertainment,Micro
Biswatosh Sinha,biswatosh,3.94,25200,33.0,194.04,0.13,Silchar,Arts and Entertainment,Micro
Bobz Choudhari,bobz.clickz,6.05,25100,212.0,1246.56,0.88,India,Arts and Entertainment,Micro
Sneha Ghildiyal,halfasleepdoodles,7.16,24700,721.0,4239.48,2.95,Bengaluru,Arts and Entertainment,Micro
Sonakshi Sinha ?me Froom:iraq,sonakshi_me_yaso,4.99,23100,87.0,511.56,0.38,India,Arts and Entertainment,Micro
Iam Saake,iamsaake,6.87,22300,549.0,3228.12,2.46,India,Arts and Entertainment,Micro
"Singer,Dancer,Actor And Model??",moonlightyassy,7.67,22000,1800.0,10584.0,8.49,India,Arts and Entertainment,Micro
Bhaavna Arora,bhaavna_arora,7.61,21700,1200.0,7056.0,5.56,India,Arts and Entertainment,Micro
Pitobash,pitobash,6.23,21500,277.0,1628.76,1.33,Mumbai,Arts and Entertainment,Micro
ZonaUrbana507,pty24tienda,2.16,21500,2.0,11.76,0.01,Haryana,Arts and Entertainment,Micro
James De Frances,jamesdefrances,5.54,21000,139.0,817.3199999999999,0.68,Raebareli,Arts and Entertainment,Micro
Karan Arora 3?(??,karan__arora,6.44,20600,334.0,1963.92,1.79,Mumbai,Arts and Entertainment,Micro
Ashish Saraf,aidmrecords,2.16,20500,2.0,11.76,0.01,Kolkata,Arts and Entertainment,Micro
Doruk Canbilen,dorukc,5.52,20200,140.0,823.1999999999999,0.69,India,Arts and Entertainment,Micro
Wishingmirror,thewishingmirror,6.12,20100,243.0,1428.84,1.24,India,Arts and Entertainment,Micro
Little India ?,little_.india,6.38,98600,344.0,2022.72,0.35,India,Lifestyle and Fashion,Micro
?????????? ??????????????,abdul_zubarti,5.2,94500,100.0,588.0,0.11,Uttar Pradesh,Lifestyle and Fashion,Micro
PrettySecrets,prettysecrets,6.63,93900,432.0,2540.16,0.47,India,Lifestyle and Fashion,Micro
Rajeev Rana,themodernindian,7.81,91500,3200.0,18816.0,3.75,Delhi,Lifestyle and Fashion,Micro
Pallavi,pallavi_85,7.93,87700,4700.0,27636.0,5.4,Chennai,Lifestyle and Fashion,Micro
SURBHI CHAWAN,surbhi_chawan_,7.62,85200,1200.0,7056.0,1.49,Mumbai,Lifestyle and Fashion,Micro
Swati Jaiswal,fashionandflying,7.63,81000,1200.0,7056.0,1.74,Delhi,Lifestyle and Fashion,Micro
Ravina Sachdev,ravinasachdevv,5.66,80000,148.0,870.24,0.2,Pune,Lifestyle and Fashion,Micro
Shivang Mavapuri,thevoguepriest,7.89,79200,4300.0,25284.0,5.47,Surat,Lifestyle and Fashion,Micro
Uttara Santar??,uttara__04,7.94,78900,4800.0,28224.0,6.16,Mumbai,Lifestyle and Fashion,Micro
Shilpa Ahuja,shilpaahujadotcom,2.56,78900,7.0,41.16,0.01,India,Lifestyle and Fashion,Micro
Meghna Sahijwani,meghnasahijwani,6.38,78300,339.0,1993.32,0.44,India,Lifestyle and Fashion,Micro
Diva�s Popup,divaspopup,5.32,74600,104.0,611.52,0.15,Delhi,Lifestyle and Fashion,Micro
The Dhoom Dhaam Weddings,dhoomdhaamweddings,4.8,72100,75.0,441.0,0.1,Mumbai,Lifestyle and Fashion,Micro
BeautyPlus,beautyplus_in,5.7,68300,158.0,929.04,0.24,India,Lifestyle and Fashion,Micro
Ruchi,ruchiiijadhav,6.03,65000,206.0,1211.28,0.33,Mumbai,Lifestyle and Fashion,Micro
Isha Priya Singh,desidrapes,7.6,63400,1000.0,5880.0,1.67,Mumbai,Lifestyle and Fashion,Micro
Tanvi Rastogi,tanviidotcom,6.24,63000,252.0,1481.76,0.46,New Delhi,Lifestyle and Fashion,Micro
Divya K,cosmoandfries,7.41,63000,867.0,5097.96,1.4,India,Lifestyle and Fashion,Micro
Mahak Sharma,mahaksharmaa_,7.66,62000,1700.0,9996.0,2.75,Haryana,Lifestyle and Fashion,Micro
�ngela C�rdoba,olympiastyle,6.18,58300,262.0,1540.56,0.46,Assam,Lifestyle and Fashion,Micro
?swarnapori Phukan?,swarnapori_official,7.6,57600,1000.0,5880.0,1.92,India,Lifestyle and Fashion,Micro
Beautynfashionfreaks,beautyandfashionfreaksofficial,3.12,57200,14.0,82.32,0.02,India,Lifestyle and Fashion,Micro
Khan Boy Ambaji,smarty_aahil_khan_,7.75,55800,2600.0,15288.0,4.98,Gujarat,Lifestyle and Fashion,Micro
IG: AskpRoy,askproy,7.68,55700,1900.0,11172.0,3.57,Assam,Lifestyle and Fashion,Micro
Snehal Karkera,snehalkarkeraofficial,7.61,51600,1100.0,6468.0,2.21,Mumbai,Lifestyle and Fashion,Micro
Kritika Roopchandani,kritikar,7.26,48800,780.0,4586.4,1.62,Jaipur,Lifestyle and Fashion,Micro
Mayank Bhardwaj,manku_mb,7.87,48200,4000.0,23520.0,8.39,Delhi,Lifestyle and Fashion,Micro
Priyanka Gupta??,missdesilolita,6.1,45300,223.0,1311.24,0.53,Bengaluru,Travel,Micro
Sudip,sudip124,7.62,43600,1200.0,7056.0,2.89,Mumbai,Lifestyle and Fashion,Micro
The Style High,_thestylehigh_,5.68,42000,150.0,882.0,0.38,Pune,Travel,Micro
Urvashi Kumar,therightshadeofred,7.63,41900,1300.0,7644.0,3.39,India,Lifestyle and Fashion,Micro
Prerna Massey,owndreamers,7.63,41100,1400.0,8232.0,3.51,India,Lifestyle and Fashion,Micro
Monty Singh,thestyleswagger,7.74,41000,2400.0,14112.0,6.46,Indore,Lifestyle and Fashion,Micro
AeTee,aeteedesigns,4.37,38700,48.0,282.24,0.13,India,Lifestyle and Fashion,Micro
Mimi,instylewithmimi,7.65,38100,1600.0,9408.0,4.13,Mumbai,Lifestyle and Fashion,Micro
Dr Neha Khanna ~Vanity Vial,vanityvial,6.06,36900,220.0,1293.6,0.6,Delhi,Lifestyle and Fashion,Micro
BeautyandMakeupMatte,poonam_bmm,5.91,35500,165.0,970.1999999999999,0.53,India,Lifestyle and Fashion,Micro
Onkar | Men's Fashion Blogger,the_dusky_dapper,5.71,35100,154.0,905.52,0.47,Mumbai,Lifestyle and Fashion,Micro
Nishi Singh,___niishi,7.81,35000,3400.0,19992.0,9.88,Mumbai,Lifestyle and Fashion,Micro
Rohit Oberoi,rohitoberoi121,2.8,34900,9.0,52.92,0.03,New Delhi,Lifestyle and Fashion,Micro
TheUnstitchd -Men Fashion Blog,theunstitchd,4.29,31100,46.0,270.48,0.15,Mumbai,Lifestyle and Fashion,Micro
Anicha,shopanicha,3.12,30700,14.0,82.32,0.05,India,Lifestyle and Fashion,Micro
Sakshi Singh,saakshii.s,7.56,30700,1000.0,5880.0,3.19,Mumbai,Lifestyle and Fashion,Micro
THE GLOCAL TRUNK,theglocaltrunkjewellery,3.44,29900,18.0,105.84,0.06,Mumbai,Lifestyle and Fashion,Micro
Smitha Yadav,smitha__yadav,5.31,29700,102.0,599.76,0.38,Bengaluru,Lifestyle and Fashion,Micro
LevenStylo,levenstylo,6.83,29100,507.0,2981.16,1.79,Noida,Lifestyle and Fashion,Micro
Sarthak Mongia,sarthak.mongia,5.15,28600,97.0,570.36,0.34,New Delhi,Lifestyle and Fashion,Micro
JUNAID MAGRAY,junaidmgry,7.71,28400,2200.0,12936.0,7.96,Mumbai,Lifestyle and Fashion,Micro
Jasjyot Singh Hans,jasjyotjasjyot,6.95,27400,592.0,3480.96,2.19,India,Lifestyle and Fashion,Micro
Colors,colors,8.69,26500,24700.0,145236.0,93.48,Mumbai,Lifestyle and Fashion,Micro
Deepu Fashion,deepufashion,3.92,26000,31.0,182.28,0.12,India,Lifestyle and Fashion,Micro
100% BEAUTY OLSHOP TRUSTED !,eyelashstudioaceh,2.24,23900,3.0,17.64,0.01,Hubli,Lifestyle and Fashion,Micro
Ragini R,kittehinfurs,6.58,23800,400.0,2352.0,1.76,Bengaluru,Lifestyle and Fashion,Micro
OIMFashion,oimfashionn,5.78,23000,156.0,917.28,0.75,Delhi,Lifestyle and Fashion,Micro
Fashion Bloggers India,fashion_bloggers_india,3.44,22800,18.0,105.84,0.08,India,Lifestyle and Fashion,Micro
Nirali,thevogueexplorer,6.31,22800,235.0,1381.8,1.39,Ahmedabad,Lifestyle and Fashion,Micro
The Dapper Man,thedapperman.in,5.56,21400,144.0,846.72,0.68,India,Lifestyle and Fashion,Micro
Nidhi Ramsha,nidhiramsha,6.96,21300,594.0,3492.72,2.84,Pune,Lifestyle and Fashion,Micro
Fashionandflick,fashionandflick,2.32,21200,4.0,23.52,0.02,India,Lifestyle and Fashion,Micro
Kenrin,kenrin_ete,6.45,21100,346.0,2034.48,1.75,Chennai,Lifestyle and Fashion,Micro
????,insidedecay,5.48,21100,132.0,776.16,0.64,Goregaon,Lifestyle and Fashion,Micro
Tailorman,tailormanindia,4.16,21000,41.0,241.07999999999998,0.2,Mumbai,Lifestyle and Fashion,Micro
Sid,thesept_boy,7.61,20700,1100.0,6468.0,5.78,Indore,Lifestyle and Fashion,Micro
Fashion Blog,thebongmunda,7.61,20600,1200.0,7056.0,5.9,India,Lifestyle and Fashion,Micro
Ganesh Parikh,letsgostylish_,7.06,20100,659.0,3874.92,3.31,Mumbai,Lifestyle and Fashion,Micro
Nupur Singh,thelazyinsomniac,7.92,99500,4600.0,27048.0,4.72,Mumbai,Lifestyle and Fashion,Micro
Delhifoodguide,delhifoodguide,6.91,99000,567.0,3333.96,0.58,New Delhi,Food and Drink,Micro
Hippie In Heels,hippieinheelsblog,2.0,92000,2000.0,11760.0,2.28,Goa,Travel,Micro
Punjabi Christians,punjabi_quote,4.32,91800,47.0,276.36,0.05,Jalandhar,Others,Micro
Navankur,navankurchaudhary,8.33,91800,9200.0,54096.0,10.1,Haryana,Travel,Micro
Yoga With Khushi,stardivakhushi,6.32,91000,285.0,1675.8,0.35,Ahmedabad,Health and Fitness,Micro
Neeraj Joshi,neerajjoshi5014,8.38,90400,9400.0,55272.0,10.91,Dehradun,Investment and Finance,Micro
Barely Opinionated,barelyopinionated,7.68,84700,2000.0,11760.0,2.36,Mumbai,Education,Micro
"Chew, Sip, Repeat ??????????????????",foodyatra,7.66,81800,1700.0,9996.0,2.13,India,Food and Drink,Micro
Rithik Gowda || Bangalore,foodbureauofindia,7.19,80700,741.0,4357.08,0.93,Bengaluru,Food and Drink,Micro
Lifestyle,Lifestyle,4.43,79500,49.0,288.12,0.07,India,Lifestyle and Fashion,Micro
CA Jay Desai | Finance & Money,ca.jaydesai,5.83,78800,176.0,1034.8799999999999,0.23,Mumbai,Investment and Finance,Micro
Elaine Rau,ladybossblogger,5.02,78700,88.0,517.4399999999999,0.11,Mumbai,Business,Micro
PIXIPfoto Wedding Photographer,pixipfoto,3.36,77400,17.0,99.96,0.02,India,Arts and Entertainment,Micro
Himanshu Goel,lighthouse_foodie,7.6,74400,1100.0,6468.0,1.44,Delhi,Food and Drink,Micro
Yash Pardeshi,yash_pardeshi_,4.4,73900,48.0,282.24,0.07,Pune,Arts and Entertainment,Micro
Harsh Chauhan,iammharsh,7.16,71200,725.0,4263.0,1.03,India,Technology,Micro
