Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Official Instagram PrateekJain,prateekjain_lovemachine,7.66,101.5k,1.7k,5.1k,1.75%,India,Arts & EntertainmentMovies
RJ Sindhu,rjsindhulive,7.7,101.4k,2.2k,20k,2.20%,Chennai,Arts & Entertainment
Ashish Shakya,ashish_shakya,7.67,101.3k,1.9k,0,1.85%,Mumbai,Arts & EntertainmentMovies
Praveen Devasagayam,praveendevasagayam,8.14,101.1k,7k,53.3k,7.01%,India,Arts & EntertainmentMovies
Lakshmipriyaa Chandramouli,lakshmipriyaachandramouli,7.96,101.1k,5.1k,15.3k,5.10%,Chennai,Arts & EntertainmentMovies
Bhuvann Ponnannaa,bhuvann_ponnannaa_official,7.28,101.1k,788,5.4k,0.80%,Bengaluru,Arts & EntertainmentMovies
Kangra Boys,kangra_boys,7.99,100.5k,5.4k,35.4k,5.38%,India,Arts & Entertainment
Harshi Madhaparia,harshimad,7.6,100.5k,1k,4.4k,1.03%,Mumbai,Arts & EntertainmentMusic
Aamir Dalvi,aamirdalvi,7.95,100.3k,4.8k,47.1k,4.96%,Mumbai,Arts & EntertainmentPhotography
Salim Sulaiman,salimsulaimanmusic,6.29,100.3k,304,1.9k,0.31%,Mumbai,Arts & EntertainmentMusic
Awesome Ink Studio,inkman84,6.22,100.3k,271,3.5k,0.28%,India,Arts & EntertainmentLiterature
GANESH HEGDE,ganeshhhegde,7.69,100.2k,2.1k,32.4k,2.08%,Mumbai,Arts & EntertainmentMovies
This Is Sumesh,this_is_sumesh,7.95,100.1k,4.8k,23.7k,4.95%,India,Arts & Entertainment
Suthasini????,suthasini0_0,7.66,100k,1.7k,17.8k,1.74%,India,Arts & EntertainmentMusic
Vinod Channa,thevinodchanna,5.72,100k,164,4.7k,0.17%,Mumbai,Arts & EntertainmentMovies
Jaaved Jaaferi,jaavedjaaferi,7.77,99.6k,2.9k,20.4k,2.96%,Mumbai,Arts & Entertainment
Jyoti Bohra,jyotibohraaa,6.98,99.6k,604,2.3k,0.62%,Mumbai,Arts & EntertainmentMovies
Kayaan Shiraz Contractor,kayaancontractor,6.33,99.5k,314,3k,0.33%,Mumbai,Arts & EntertainmentMovies
Atul Kulkarni,atulkulkarni_official,7.77,99.3k,2.9k,13.4k,2.94%,Belgaum,Arts & EntertainmentMovies
RIYA GOGOI,_riyagogoi_,8.6,99.2k,20.1k,31.6k,20.32%,Mumbai,Arts & EntertainmentHumor / Comedy
?? ?? ?? ?? ?? ?? ?? ??   ?? ?? ?? ?? ??,punjabivlogger,8.03,99.1k,5.8k,24.2k,5.93%,Punjab,Style & FashionLifestyle
When Chai Met Toast,whenchaimettoast,7.83,97.9k,3.6k,18k,3.75%,Kochi,Arts & EntertainmentMusic
Ankur Bhatia,ankurbhatia,3.68,97.8k,0,3.5k,0.02%,Bhopal,Arts & EntertainmentMovies
ToTheCulture.com,totheculture,7.16,97.8k,723,9.6k,0.74%,Mumbai,Arts & EntertainmentDance
Photographers Of India,budding_photographers_of_india,6.47,97.5k,373,5.2k,0.39%,India,Arts & EntertainmentPhotography
Abhishek Kapoor,iabhishekkapoor,8.37,97.5k,9.7k,21.3k,10.03%,New Delhi,Arts & EntertainmentStyle & Fashion
Sahithya Jagannathan,sahithyajagannathan,7.23,97.4k,736,29.7k,0.79%,Chennai,Arts & EntertainmentTelevision
Kashmira Irani,kashmira_irani,7.72,97.2k,2.3k,5.9k,2.42%,Pune,Arts & EntertainmentMovies
Sidharth Sagar,sidharthsagar.official,7.78,97.2k,3.1k,31k,3.20%,Delhi,Arts & EntertainmentHumor / Comedy
T H E F I L M Y O W L,_angelbedi_,7.63,97k,1.3k,4k,1.39%,India,Arts & EntertainmentMovies
Navin Kr. Vatsa,navinvatsa,7.93,96.3k,4.6k,2.1k,4.90%,India,Arts & EntertainmentPhotography
Mumtaz Sorcar,mumtaz_sorcar,7.62,95.8k,1.2k,2.3k,1.31%,India,Arts & EntertainmentMovies
Hiraan Chatterjee,hiraanchatterjee,7.63,95.8k,1.3k,4.7k,1.42%,Kolkata,Arts & EntertainmentMovies
Pranav Sasidharan,pranav_sasidharan,7.63,95.5k,1.3k,8.1k,1.40%,India,Arts & EntertainmentLiterature
Ojaswi Aroraa,ojaswiaroraa,7.54,95.4k,0.9k,4.4k,1.01%,Mumbai,Arts & EntertainmentTelevision
Ambika Anand,ambikaanand,7.62,95.1k,1.2k,6.7k,1.33%,Chandigarh,GeneralArts & Entertainment
What's Up Gurgaon,whatsupgurgaon,7.19,95.1k,745,4.9k,0.79%,Gurgaon,LifestyleArts & Entertainment
Shivam Jemini,shivamjemini,8.32,94.4k,9.1k,16.7k,9.72%,Panvel,Arts & EntertainmentMovies
Shweta Pandit,shwetapandit7,2.4,94.4k,0,1.9k,0.01%,India,Arts & Entertainment
Dishank Arora,dishankarora9,7.6,94.2k,1k,4.2k,1.11%,Mumbai,Arts & EntertainmentMovies
Rahul Bose,rahulbose7,7.61,94.2k,1.2k,6.4k,1.28%,Bengaluru,Arts & EntertainmentMovies
Sugandh,theurbanfight,8.12,94.2k,6.9k,18.4k,7.33%,India,Arts & EntertainmentMovies
Mouni Roy,mouni.roy.beautiful,2,94k,2.2k,16.1k,2.35%,India,Arts & EntertainmentMovies
GIRIK AMAN,girikaman,5.75,93.5k,162,886,0.18%,Mumbai,Arts & EntertainmentMusic
FARJAN QURESHI,i_am_farjan_qureshi,8.07,93.1k,6.3k,20.3k,6.77%,Haryana,Arts & Entertainment
Zoa Morani,zoamorani,4.41,93k,0,5.4k,0.05%,Mumbai,Arts & EntertainmentMovies
Umesh Pherwani,umeshpherwani,4.44,92.8k,50,177,0.06%,Mumbai,Arts & EntertainmentMovies
Mallika Angela,iammallikaangela,7.69,92.3k,2k,1.6k,2.23%,India,Arts & EntertainmentMovies
Akshay Kumar FB,akshaykumarfb,6.64,92.2k,440,3.8k,0.48%,India,Arts & EntertainmentMovies
Neeti Palta,neetipalta,7.61,92.1k,1.1k,10.3k,1.25%,New Delhi,Arts & EntertainmentHumor / Comedy
Surbhi Sharma,surbhisharma_786,7.63,91.7k,1.3k,1.5k,1.51%,Ludhiana,Arts & EntertainmentMovies
G.venket Ram,venketramg,7.61,91.7k,1.1k,13.5k,1.23%,Chennai,Arts & EntertainmentMovies
Wedding Twinkles,weddingtwinkles,5.36,91.7k,118,1.1k,0.13%,New Delhi,Arts & EntertainmentMovies
Komal Jha,icondigitalart,4.37,91.3k,47,877,0.05%,Mumbai,Arts & EntertainmentPhotography
Harish Uthaman,harishuthamanofficial,7.96,90.9k,5k,11.2k,5.59%,Chennai,Arts & EntertainmentMovies
Shruti Chauhan,callmeshruts,7.8,90.9k,3.3k,6k,3.68%,Mumbai,Arts & EntertainmentMovies
SW ?,simarwaliasays,7.6,90.2k,1.1k,7k,1.20%,India,Arts & EntertainmentMovies
RJ Aditi Joshi,a.d.i.t.i.m.u.s.i.c,7.28,89.6k,797,1.5k,0.90%,India,Arts & Entertainment
My Car,mycarjeddah,5.35,89.5k,117,619,0.13%,Mumbai,Arts & EntertainmentMovies
SKNDRKALO,skndrkalo,8.05,89.3k,5.9k,28.2k,6.80%,Mohali,Arts & Entertainment
Bolly Actresses,bolly_actresses,4.7,89.1k,69,12.1k,0.08%,India,Arts & EntertainmentMovies
Christian Bong,christianbong,6.65,89k,433,4.8k,0.50%,Assam,Arts & Entertainment
D.E.V Pvt. Ltd.,deventertainmentventures,7.6,88.9k,1k,2.5k,1.19%,Kolkata,Arts & EntertainmentMovies
Manasi Moghe,manasi_moghe,7.67,88.6k,1.8k,1.4k,2.07%,Mumbai,Arts & EntertainmentMovies
Rohan Vinod Mehra,rohanmehra,7.04,88.3k,632,2.2k,0.74%,Amritsar,Arts & EntertainmentMovies
Vh1 Supersonic,vh1supersonic,6.09,87.8k,230,1.4k,0.27%,Pune,Arts & EntertainmentDance
Mrinmayee Godbole,mrinmayeegodbole,7.87,87.7k,4.1k,11.8k,4.71%,Mumbai,Arts & Entertainment
Indiaistore.com ®,indiaistore,6.85,86.9k,536,880.1k,0.62%,India,Arts & EntertainmentLiterature
Prashant Sawant,prashantsixpack,5.72,86.9k,159,2.5k,0.19%,Mumbai,Arts & EntertainmentMovies
Arjun,arjungosar,6.52,86.7k,392,4k,0.46%,Mumbai,Arts & Entertainment
Shilpa Ganesh,shilpaaganesh,8.27,86.5k,8.6k,29.1k,9.96%,Bengaluru,Politics & ActivismArts & Entertainment
Sharvi Yadav,sharviyadav,7.85,86.4k,3.8k,10.5k,4.44%,Mumbai,Arts & EntertainmentMusic
SuperSuper,supersuperofficial,2,86.2k,8.5k,11.9k,9.88%,Delhi,MoviesArts & Entertainment
Raju Srivastava,rajusrivastavaofficial,7.52,86.1k,0.9k,15.9k,1.11%,Mumbai,Arts & EntertainmentMovies
LIJO GEORGE,dj.lijo,8.03,86k,5.7k,18.5k,6.81%,Mumbai,Arts & EntertainmentLiterature
Divya?Krishnan,iamdivyakrishnan,7.07,85.5k,664,629,0.79%,India,Arts & EntertainmentMovies
Ishita Dharnidharka,dharnidh,8.02,85.5k,5.7k,5.4k,6.78%,Mumbai,Arts & EntertainmentPhotography
Aanchal Srivastava,aanchal_me,6.86,85.4k,524,896,0.63%,India,Arts & EntertainmentMovies
Rochak Kohli,rochakkohli,7.62,85.2k,1.3k,7.4k,1.56%,Chandigarh,Arts & EntertainmentMusic
Baskin Robbins India,baskinrobbinsin,6.19,84.8k,272,85.3k,0.32%,India,Arts & EntertainmentMovies
Munna Singh,munnasphotography,6.97,84.5k,599,7.9k,0.72%,Mumbai,Arts & EntertainmentPhotography
CROWNED MUSER ??,yashikakothari,6.46,84.3k,372,5.8k,0.44%,India,Arts & Entertainment
Laura Wells,iamlaurawells,6.9,83.6k,551,3.3k,0.68%,Assam,Arts & EntertainmentLiterature
Aditi Mittal,addymitzy,6.52,83.6k,383,5.4k,0.47%,Mumbai,Arts & EntertainmentMovies
Seeken,seeken101,7.6,83.6k,1k,2.6k,1.20%,India,Arts & EntertainmentLiterature
EnoshKumar,enoshkumarv,8.07,83.5k,6.3k,13.1k,7.56%,India,Arts & Entertainment
Raj Mohan?,rajography,7.82,83.3k,3.5k,14.6k,4.26%,India,Arts & EntertainmentPhotography
Pardeep Khera,pardeep_khera,5.79,83.2k,171,2.8k,0.21%,India,Arts & Entertainment
92.7 BIG FM,92.7bigfm,2,83.1k,0,131,0.00%,India,Arts & EntertainmentMovies
Angel Digital,angel_digital,3.7,83k,24,278,0.03%,Kolkata,Arts & EntertainmentMovies
J.s. Heme,heme_xoxo,7.68,82.6k,2k,2.1k,2.40%,India,Arts & EntertainmentMovies
Sudeep Nagarkar,sudeepnagarkar,7.78,82.5k,3.1k,0,3.76%,Mumbai,Arts & EntertainmentMovies
Shutterbugs Images,shutterbugsimages,6.12,82.4k,238,2.5k,0.30%,Mumbai,Arts & EntertainmentMovies
SoulFulMusikAcademy,soulfulmusikacademy,2.56,82.3k,7,82,0.01%,Mumbai,Arts & EntertainmentMusic
Avij Gupta,iamavij,6.66,82.1k,429,4.7k,0.55%,New Delhi,Arts & Entertainment
Divyanganaa Jain,divyanganaa_jain,7.75,82.1k,2.7k,5.3k,3.37%,Agra,Arts & EntertainmentTelevision
Times Music,timesmusichub,6.9,82k,529,2.6k,0.69%,India,Arts & EntertainmentMovies
Sivamani Drums,asivamanidrums_official,7.63,82k,1.4k,5.7k,1.76%,Mumbai,Arts & EntertainmentMovies
Shrinathji Temple,shrinathjitemple,7.77,82k,2.9k,4.6k,3.65%,India,Arts & EntertainmentLiterature
Manasi Scott,manasiscott,7.16,82k,695,1.7k,0.88%,India,Arts & EntertainmentMovies
Sayanta Modak,theconfusedbox,8.34,81.9k,9.2k,7.1k,11.42%,Kolkata,Arts & EntertainmentMovies
Robin Saini,robinsainiphotography,4.1,81.6k,39,2.1k,0.05%,Mumbai,Arts & EntertainmentPhotography
Saravana Vel,actor_saravanavel,7.66,81.3k,1.8k,43.2k,2.19%,Chennai,Arts & EntertainmentMovies
Tochi Raina,tochirainaofficial,4.21,81k,43,714,0.05%,Bihar,Arts & EntertainmentMovies
Aishwarya Suresh,worldofaugust,8.49,81k,14.7k,31.5k,18.13%,Bengaluru,Arts & EntertainmentMusic
Akhsin Zaydi,axin_zay,7.61,80.9k,1.2k,15.4k,1.51%,Akurdi,Arts & EntertainmentMusic
Pooja Devariya,poogramster,7.67,80.8k,1.8k,10k,2.25%,Bengaluru,Arts & EntertainmentMovies
Pinnacle,pinnaclecelebs,4.13,80.5k,37,597,0.05%,Mumbai,Arts & EntertainmentMovies
By The Lakeside|Since 2013,by_the_lakeside,6.2,80.3k,262,4.5k,0.34%,Pune,Arts & EntertainmentLiterature
Jayati Bhatia,jayatibhatia,7.61,80.3k,1.2k,13k,1.49%,Odisha,Arts & EntertainmentTelevision
TOABH,toabhcreative,5.84,80.2k,178,808,0.22%,Mumbai,Arts & EntertainmentMovies
Girish Kumar,girishkumart,7.78,80.1k,3.1k,16k,3.86%,Mumbai,Arts & EntertainmentMovies
Singh Films,singh_films,5.92,79k,189,1.8k,0.24%,Kapurthala,Arts & EntertainmentMovies
Uci Cinemas,ucicinemasit,7.36,78.7k,840,2.9k,1.09%,Mangalore,Arts & EntertainmentMovies
Mehak Dhawan,mehak_dhawan19,7.06,78.4k,651,6.4k,0.85%,New Delhi,Arts & EntertainmentTelevision
Ash King,ashkinglive,7.64,78.2k,1.4k,12.5k,1.89%,Mumbai,Arts & EntertainmentMusic
Andria Dsouza,imandriadsouza,6.32,77.5k,310,887,0.41%,Mumbai,Arts & EntertainmentMovies
PIXIPfoto Wedding Photographer,pixipfoto,3.36,77.4k,17,0,0.02%,India,Arts & EntertainmentPhotography
Rimi Nique,riminique,3.36,77.4k,0,656,0.02%,Mumbai,Arts & EntertainmentMovies
Musical.ly,musical.ly,2,77.1k,0,0,0.00%,India,Arts & Entertainment
Aleena S. Rais,aleena_rais_insta,8.31,77.1k,8.9k,57.7k,11.75%,Delhi,Arts & EntertainmentHumor / Comedy
T.H.E - Music Essentials,themusicessentials,6.48,76.8k,375,2.9k,0.50%,Mumbai,Arts & EntertainmentDance
Deeksha Seth,deeksha721,8.17,76.5k,7.3k,0,9.78%,Mumbai,Arts & EntertainmentMovies
Amit Tandon,amitandon17,7.17,76.4k,715,4.7k,0.96%,Patiala,Arts & EntertainmentHumor / Comedy
Clinton Cerejo,clintoncerejo,6.5,76.3k,383,2.5k,0.51%,Mumbai,Arts & EntertainmentMusic
JaimeKohen,jaimekohen,7.35,76.2k,817,1.3k,1.11%,Haryana,Arts & EntertainmentMusic
Dino Talks,dino_talks,8.42,76.2k,11.3k,0,14.88%,New Delhi,Arts & Entertainment
Purab Kohli,purab_kohli,6.52,75.7k,390,1.7k,0.52%,Mumbai,Arts & EntertainmentMovies
Hemant Dhome,hemantdhome21,8.1,75.7k,6.6k,20.1k,8.84%,Mumbai,Arts & EntertainmentMovies
Ritu Agarwal,voiceofritu,7.6,75.7k,1.1k,1.9k,1.47%,India,Arts & EntertainmentMusic
Priya Adivarekar,priyaadivarekar,5.56,75.6k,140,543,0.19%,Mumbai,Arts & EntertainmentMovies
Ricky Kej,rickykej,6.9,75.5k,548,1.1k,0.75%,Bengaluru,Arts & EntertainmentMusic
Resha Konkar,resha.k,6.44,74.5k,344,1.4k,0.49%,Mumbai,Arts & EntertainmentMovies
Preeti Kuntal,kuntalpreeti,6.71,74.5k,436,1k,0.63%,Mumbai,Arts & Entertainment
Karthik Kumar,evamkarthik,6.71,74.3k,464,8.8k,0.63%,Chennai,Arts & EntertainmentMovies
Yash Pardeshi,yash_pardeshi_,4.4,73.9k,48,0,0.07%,Pune,Arts & EntertainmentPhotography
Awkwerrrd™,awkwerrrrrd,7.89,73.8k,4.3k,23.7k,5.89%,Kochi,Arts & EntertainmentCartoon
T2,t2telegraph,5.88,73.3k,185,1.6k,0.25%,Kolkata,Arts & Entertainment
DJ Notorious,deejaynotorious,5.48,73.3k,132,1k,0.18%,Mumbai,Arts & EntertainmentMusic
Praneet Bhat,praneetbhat,7.84,73.3k,3.7k,22.7k,5.20%,Mumbai,Arts & EntertainmentMovies
Geetika,geetikasood_,7.67,73.1k,1.8k,14.9k,2.50%,Chandigarh,Arts & EntertainmentTelevision
Himparadise™,himparadiseofficial,7.21,72.6k,755,764,1.04%,India,Arts & EntertainmentLiterature
Rajeev Khandelwal,simplyrajeev,8.42,72.6k,11.1k,35.7k,15.74%,Mumbai,Arts & EntertainmentMovies
Toranj Kayvon,toranjkayvon,7.86,72.1k,3.9k,10k,5.45%,Mumbai,Arts & EntertainmentMovies
Klára Daila Jansíková,dailadancedesign,7.64,71.9k,1.5k,4k,2.08%,India,Arts & EntertainmentDance
Hitched & Clicked,hitchedandclicked,6.41,71.9k,353,12.7k,0.49%,India,Arts & EntertainmentLiterature
Uday Mohite,indian_illustrator,7.77,71.7k,3k,13.6k,4.18%,India,Arts & EntertainmentMovies
KLEAVER,kleaverklothing,6.36,71.6k,334,1.7k,0.47%,Salem,Arts & EntertainmentMovies
Malidadinda,malidadinda_,8.04,71.5k,5.9k,10.8k,8.46%,Akurdi,Arts & EntertainmentDance
India Bike Week,indiabikeweek,7.69,71.3k,2.1k,5.3k,2.92%,Goa,Arts & Entertainment
Swara,swaratheartist,7.74,71k,2.6k,12.4k,3.65%,India,Arts & Entertainment
Sharan Shobhani,sharansobhani,7.61,71k,1.1k,2.8k,1.63%,Pune,Arts & EntertainmentTelevision
DreamWarriorPictures,dreamwarriorpictures,7.62,70.8k,1.3k,4k,1.80%,Chennai,Arts & EntertainmentMovies
Vibhaabhagat(Dr),vibha_bhagat,7.18,70.7k,662,4.6k,1.05%,Mumbai,MoviesArts & Entertainment
Azeem Banatwalla,azeembanatwalla,7.77,70.4k,2.9k,12.1k,4.17%,Mumbai,Arts & EntertainmentHumor / Comedy
Biswapati Sarkar,chhotathalaiva,8.01,69.9k,5.7k,23.2k,8.17%,Mumbai,Arts & EntertainmentMovies
Sumit Kadel,sumitkadelofficial,7.79,69.9k,3.1k,13.1k,4.52%,Kolkata,Arts & EntertainmentMovies
Zeishan,zeishanquadri,7.67,69.9k,1.9k,7.5k,2.70%,Mumbai,Arts & EntertainmentMovies
Amit Nimade,amitnimade,2,69.5k,0,0,0.00%,Bhopal,Arts & EntertainmentMovies
Roshni Prakash,roshni.prakash,7.92,68.8k,4.6k,11.5k,6.70%,Bengaluru,Arts & EntertainmentMovies
Dr Pratibha Singh,pratibha_singhh_,7.62,68.7k,1.2k,17.5k,1.86%,Madhya Pradesh,Arts & EntertainmentFitness
Joban Sandhu??,kohleyesbyjo,6.96,68.7k,599,14.2k,0.88%,Amritsar,Arts & EntertainmentLiterature
What's Up NewDelhi,whatsupnewdelhi,6.33,68.6k,322,5.6k,0.47%,Delhi,PhotographyFood & Drink
Karan Suchak,karaansuchak,7.72,68.6k,2.4k,12k,3.51%,Mumbai,Arts & EntertainmentMovies
Shrinidhi Ghatate,shrinidhighatate,7.83,68.5k,3.6k,5.6k,5.39%,Mumbai,Arts & EntertainmentMusic
Mantra,mantramugdh,6.99,68.2k,612,3k,0.91%,Mumbai,Arts & EntertainmentMovies
Gunjan,gbgunjan,6.19,68.1k,202,3.6k,0.40%,India,Arts & EntertainmentTelevision
Palsmaniaa Weddings,worldofunitedstates,2,67.9k,0,0,0.00%,Mumbai,Arts & EntertainmentLiterature
Love Rudrakash,delhi_youtuber,7.58,67.8k,1k,3.5k,1.46%,India,GeneralArts & Entertainment
Mrinal Dutt,crimrinal,6.61,67.5k,422,2.7k,0.64%,Delhi,Arts & EntertainmentMovies
Rewati Chetri,rewati.chetri,7.45,67.4k,885,3.4k,1.35%,Mumbai,Style & FashionArts & Entertainment
Rashmi Uday Singh,rashmiudaysingh,6.13,67.4k,243,1.3k,0.37%,Mumbai,Arts & EntertainmentTelevision
Varun Gupta,iamvarun_gupta,7.61,67.2k,1.1k,7.8k,1.69%,Mumbai,Arts & EntertainmentMovies
Shraey Khanna,shraey.khanna,6.85,67.2k,513,5.7k,0.79%,India,Arts & EntertainmentMovies
Diandra Soares,soares_diandra,5.52,67k,131,1.3k,0.21%,Mumbai,Arts & EntertainmentTelevision
MarathiCelebrity,marathicelebrityofficial,6.22,66.8k,283,5.7k,0.43%,India,Arts & EntertainmentMovies
Cinema Calendar,cinemacalendar,6.04,66.6k,216,3.1k,0.32%,India,Arts & EntertainmentMovies
BOSS2,grassrootent,6.24,66.5k,269,1k,0.44%,India,Arts & EntertainmentMovies
Dilbagh Singh,iamsinghdilbagh,5.4,66.4k,109,608,0.19%,Delhi,Arts & EntertainmentMusic
Riya Palekar,riya_palekar,2.4,66.2k,0,2.6k,0.01%,Bengaluru,DanceArts & Entertainment
Imagica,imagicaaworld,6.55,66.1k,401,7.8k,0.62%,Khopoli,Arts & Entertainment
Praveen Kumar - Stand Up Comic,comedianpraveen,6.25,65.8k,290,11k,0.45%,Bengaluru,Arts & EntertainmentHumor / Comedy
Viralbollywood,viralbollywood,4.1,65.7k,39,1.9k,0.06%,India,Arts & EntertainmentMovies
Abijit Ganguly,abijitganguly,7.8,65.7k,3.3k,9.4k,5.06%,India,Arts & EntertainmentHumor / Comedy
Joshi Daniel,joshidaniel,7.65,65.5k,1.5k,6.8k,2.41%,Mumbai,Arts & EntertainmentPhotography
SSHAAWN AVIATION,waahiidakhan,6.47,65.1k,373,4.5k,0.58%,Mumbai,Arts & EntertainmentLiterature
101India,101india,5.32,65.1k,114,547,0.18%,India,Arts & EntertainmentMovies
Daniel Fernandes,absolutelydanny,6.39,65k,343,19.3k,0.54%,Mumbai,Arts & EntertainmentHumor / Comedy
FIP ?,fipradio,4.89,64.8k,80,3.5k,0.12%,Surat,Arts & EntertainmentMovies
Anirudh Ravichander,anirudhmusicofficial,2,64.2k,0,0,0.00%,India,Arts & Entertainment
Shipra & Amit Photo,shipraamitphoto,5.9,64.1k,187,1.6k,0.29%,New Delhi,Arts & EntertainmentPhotography
Gurfateh Pirzada (Fateh),gurfatehpirzada,7.68,64.1k,1.9k,15.5k,3.01%,Mumbai,Arts & EntertainmentMovies
Nirbhay Wadhwa,nirbhay.wadhwa,7.26,64k,765,2.8k,1.24%,Jaipur,MoviesFitness
NH7,nh7dotin,6.16,63.9k,255,4k,0.41%,India,Arts & Entertainment
Sonia Balani,soniabalani9,7.66,63.8k,1.6k,4.5k,2.70%,Mumbai,Arts & EntertainmentMovies
Radhika Chhabra,radhika_chhabra_rads,7.17,63k,710,4.6k,1.16%,India,Arts & Entertainment
Ankur Téwari,ankurtewari,6.86,62.9k,534,3.9k,0.86%,Mumbai,Arts & EntertainmentMusic
Alok Shah,alokshahphotography,4.89,62.8k,79,0,0.13%,Mumbai,Arts & EntertainmentPhotography
Niko Guido,nikoguido,7.7,62.8k,2.2k,4.7k,3.49%,India,Arts & EntertainmentPhotography
Ramya Bhat??,rtg_24_bhat,7.14,62.6k,705,29k,1.14%,Bengaluru,Arts & Entertainment
Rasika Shekar,rasika.shekar,7.65,62.4k,1.6k,15.9k,2.56%,Mumbai,Arts & EntertainmentMusic
Sakshi Gulati,sakshigulati10,5.8,62k,164,0,0.28%,India,Arts & EntertainmentMovies
KABIR /#SinghthatSings,acoustic_singh,7.64,62k,1.5k,5.2k,2.42%,India,Arts & EntertainmentMusic
Neetha Ashok,neethaashok01,7.8,61.9k,3.3k,8.4k,5.37%,Bengaluru,Arts & EntertainmentMovies
Akshay Kumar FG,akfansgroup,7.34,61.9k,837,2.8k,1.36%,India,Arts & EntertainmentMovies
Moodyymoo,moodyymoo,7.04,61.9k,638,1.6k,1.05%,Mumbai,CartoonArts & Entertainment
Abhyangh Kuvalekar Live,abhyangh_official,7.61,61.8k,874,461,1.42%,India,Arts & EntertainmentMovies
Shiamak Davar,shiamakofficial,2,61.8k,0,0,0.00%,Mumbai,Arts & EntertainmentMovies
What's Up Life (Bengaluru),whatsupbengaluru,4.54,61.8k,58,535,0.10%,Bengaluru,PhotographyFood & Drink
Abhay Jodhpurkar,abhayjodhpurkar,6.73,61.5k,463,1.4k,0.77%,Chennai,Arts & EntertainmentMovies
Pratap 08,prataphada,7.62,61.5k,1.3k,2k,2.12%,India,Arts & Entertainment
IndianFashionBlogger,bollywood212,2,61.3k,0,0,0.00%,India,Arts & EntertainmentMovies
Vikas Sethi,vikass.sethi,7.62,60.9k,1.2k,12.5k,2.01%,Ludhiana,Arts & EntertainmentTelevision
Mehakdeep Singh Randhawa,mehakdeep_official,6.19,60.9k,266,3.1k,0.45%,Punjab,Arts & EntertainmentTelevision
??an???ree ?e?ra,mehrabhanushree,6.92,60.7k,570,8.1k,0.96%,India,Arts & EntertainmentMovies
Tania Anjani,taniaanjani,5.79,60.4k,168,5.3k,0.29%,Akurdi,Arts & Entertainment
Indian ShutterBugs,indianshutterbugs,2,60.4k,0,2.2k,0.00%,India,Arts & EntertainmentPhotography
Parth,parth_suri,7.87,59.9k,4.1k,16k,6.88%,India,Arts & EntertainmentStyle & Fashion
Arjan Bajwa,iarjanbajwa,7.71,59.8k,2.3k,7.5k,3.87%,Mumbai,Arts & EntertainmentMovies
Sonali Thakker,sonalithakker,7.74,59.8k,2.6k,192.9k,4.41%,Mumbai,Arts & EntertainmentHumor / Comedy
Naresh Harchekar,nareshh00,6.25,59.6k,273,541,0.50%,Mumbai,Arts & Entertainment
Ritz Gautam,ritz.gautam,7.65,59.4k,1.5k,7.6k,2.67%,Bengaluru,Arts & EntertainmentMovies
Megha Rao,_megharao,7.81,59.3k,3.4k,14.3k,5.77%,India,TravelArts & Entertainment
Baahubali,prabhas_darling_mrperfect,2,59.2k,0,0,0.00%,India,Arts & EntertainmentMovies
Pavitra Paruthi,pavitraparuthi,7.81,59k,3.4k,35.4k,5.81%,India,Arts & Entertainment
Sublime Factory,sublimelifeofficial,6.83,58.8k,503,2.8k,0.89%,Mumbai,Arts & EntertainmentMovies
Suchitra Pillai,suchipillai,7,58.7k,598,4.3k,1.07%,Kochi,Arts & EntertainmentTelevision
Naina,naina,2,58.6k,0,281,0.00%,New Delhi,Arts & EntertainmentPhotography
Nishita,rjnishitaa,4.44,58.5k,52,25.4k,0.09%,Ahmedabad,Arts & Entertainment
Malaika Arora KhanFC,mallaarorafc,7.34,58.5k,831,0,1.43%,India,Arts & EntertainmentMovies
Ajay Patil ? | ???? ?????,ajaypatilphotography,7.67,58.5k,1.8k,11.4k,3.17%,Mumbai,Arts & EntertainmentMovies
Rucha Inamdar,ruchainamdar,7.7,58.4k,2.1k,6.7k,3.73%,Mumbai,Arts & EntertainmentMovies
Euphoria,instadhoom,6.78,58.1k,476,40.1k,0.85%,Delhi,Arts & EntertainmentMusic
LaughaLaughi,laughalaughi,5.43,58.1k,129,648,0.22%,Kolkata,Arts & EntertainmentMovies
Eisha Acton,eisha_megan_acton,6.27,58k,291,2k,0.52%,India,Arts & EntertainmentMovies
Gyalwang Drukpa,gyalwangdrukpa,7.52,57.9k,0.9k,3.3k,1.65%,Lehi,Arts & EntertainmentLiterature
RJ Divya Solgama,divyasolgama,4.24,57.7k,39,776,0.08%,Mumbai,Arts & Entertainment
Monolord,monolordofficial,7.17,57.4k,721,4k,1.28%,Wardha,Arts & EntertainmentLiterature
PC Photography,prudhvichowdary,7.67,57.3k,1.9k,5.3k,3.29%,Hyderabad,Arts & EntertainmentPhotography
Mehendi Art Gallery,mehendiartgallery_,4.26,57.3k,45,815,0.08%,Mumbai,Arts & EntertainmentLiterature
Nikita G,dancingdivaniki,6.84,57.2k,524,4.8k,0.93%,Mumbai,Arts & EntertainmentMovies
Sabbyy SG,sabbyysg,7.6,57k,1k,4.1k,1.78%,Delhi,Arts & EntertainmentPhotography
